פריט,תאור פריט,מספר ספק,שם מספר ספק,מ.63 הובלות באזר,שם מ.63 הובלות באזר
210689,מייבש שיער איתמר 4600,600065017,רמזור כדריה,3,שתי רשתות
227628,סט סכינים איכותי 8 חלקים ,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",,
219985,כיריים אינפרא יחיד JA7011,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",4,ללא
220457,כיריים גז המילטון 274 על השיש,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",4,ללא
720457,כיריים גז המילטון 274 על השיש,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",,
212769,"רדיאטור 12חשמלי צל'זק""ש EF12B",600065003,"אפעז בע""מ",,
228945,מזוודת טרולי- מבצע ברימאג,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
231614,"סט מזוודות 20""+ 28"" אפור F-13113",600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
227671,כדור מסאז'  ,600060023,"ד""ר פון סלולר בע""מ",3,שתי רשתות
200678,מכונת תספורת פנסוניק 206-סאונד,600066034,סאונד פסיפיק אלקטרוניק,,
202173,מכונת תספורת פנסוניק 2031,600060091,"מ.ברוכים ובניו בע""מ",,
202355,מ.תספורת פנסוניק CA35 מ.ב,600060091,"מ.ברוכים ובניו בע""מ",,
204371,מ.תספורת פנסוניקER131-'בר,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
204373,מ' תספורת פנסוניק 508-'בר,600060091,"מ.ברוכים ובניו בע""מ",,
204764,מ. תס' פנסוניק ER1411-'בר,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
204765,מ.תספורת פנסוניק ER1421,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
204885,מכונת תספורת פנסוניק 1411-דשש,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
210139,מכ' תספורת פנסוניק ER1611,600066034,סאונד פסיפיק אלקטרוניק,,
210194,מכונת תספורת פנסוניק206-ברוכים,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
215714,קוד לא פעיל,600060091,"מ.ברוכים ובניו בע""מ",,
215715,מכונת תספורת פנסוניק 1611,600060091,"מ.ברוכים ובניו בע""מ",,
215885,מכונת תספורת פנסוניק Y10,600060091,"מ.ברוכים ובניו בע""מ",,
215886,מכונת תספורת פנסוניק 37K,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
216559,מכונת תספורת פנסוניק 206-דשש,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
217120,מכונת תספורת פנסוניק 131-דשש,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
221621,מכונת תספורת פנסוניק GB60,600060091,"מ.ברוכים ובניו בע""מ",3,שתי רשתות
222504,מכונת תספורת פנסוניק GC70,600060027,"יורוקום תקשורת דיגיטלית בע""מ",1,מחסני חשמל בלבד
222505,מכונת תספורת פנסוניק GN30,600060027,"יורוקום תקשורת דיגיטלית בע""מ",3,שתי רשתות
222506,מכונת תספורת פנסוניק GY10,600060027,"יורוקום תקשורת דיגיטלית בע""מ",,
222507,מכונת תספורת פנסוניק GB40,600060027,"יורוקום תקשורת דיגיטלית בע""מ",3,שתי רשתות
222508,מכונת תספורת פנסוניק GS60,600060027,"יורוקום תקשורת דיגיטלית בע""מ",3,שתי רשתות
222718,מכונת תספורת פנסוניק 451K GB37,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",1,מחסני חשמל בלבד
227734,מ.תספורת פנסוניק ER1421,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
227735,מכונת תספורת פנסוניק 1611-דשש,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
227736,הקש מקט 222718,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",1,מחסני חשמל בלבד
227737,מכונת תספורת פנסוניק GB60,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",1,מחסני חשמל בלבד
227738,מכונת תספורת פנסוניק PA10,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",1,מחסני חשמל בלבד
227739,מכונת תספורת פנסוניק Y10,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",3,שתי רשתות
228586,מכונת תספורת פנסוניק GP80 ,600060101,"ד.ש.ש. אלקטרוניקה בע""מ",1,מחסני חשמל בלבד
231982,מברשת שיער חמה פנסוניקW615 EH-KA71,600060027,"יורוקום תקשורת דיגיטלית בע""מ",3,שתי רשתות
202280,"מסלסל שיער זק""""ש 5982",600065003,"אפעז בע""מ",,
202310,"מסלסל שיער זק""""ש 7312",600065003,"אפעז בע""מ",,
210144,מעצב שיער 2120זק'ש 7חלקים,600065003,"אפעז בע""מ",,
217946,מייבש שיער בוש PHD5987,600060063,בי.אס.אייץ.מכשירים בייתים,,
221109,מחליק שיער בוש PHS9460,600060063,בי.אס.אייץ.מכשירים בייתים,1,מחסני חשמל בלבד
221110,מייבש שיער בוש PHD9940 מקצועי,600060063,בי.אס.אייץ.מכשירים בייתים,,
221111,מחליק שיער בוש PHS5987,600060063,בי.אס.אייץ.מכשירים בייתים,,
221113,מייבש שיער בוש PHD5962,600060063,בי.אס.אייץ.מכשירים בייתים,1,מחסני חשמל בלבד
221116,מחליק שיער בוש PHS5263 משוכלל,600060063,בי.אס.אייץ.מכשירים בייתים,,
216704,מכונת תספורת נורמנדה PG300,600060062,קלינטון סחר בנלאומי 2000,,
200742,מ.תספורת T.VAC פיליפס 863,600060091,"מ.ברוכים ובניו בע""מ",,
200743,מכונת תספורת פילפס 888,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202138,ערכת גילוח פיליפס RQ1085,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202139,מכונת גילוח פיליפס RQ1090,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202140,מכונת גילוח פיליפס RQ1095,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202141,מכונת גילוח פיליפס RQ1150/5,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202142,"מ""""ג פיליפס 1160-ללא שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202146,"מ""ג פיליפס ללא- 1250/3 שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202148,"מ""""ג פיליפס 1280/5-ללא שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202172,מסיר שיער לגבר 2021פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202204,מכונת תספורת פיליפסQC3030,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202205,ערכת תספורת פליפס HQG3040,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202223,מכונת תספורת פיליפס 4022,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202225,מכונה לזקן פיליפס 4045,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202226,מכונת תספורת פיליפס 4050,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202227,מכו' לעיצוב 4090זקןפיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202233,מייבש+ מעצב פיליפס 4671,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202234,מסלסל שיער פיליפס 4674,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202235,מעצב שיער פיליפס HP-4696,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202236,מסלסל שיער פיליפס 4698,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202238,מייבש שיער פיליפס 4867,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202239,מייבש שיער פיליפס HP4883,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202240,מייבש שיער פיליפס 4890,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202241,מייבש שיער פיליפס HP-4892,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202242,מייבש שיער פיליפס 4931,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202244,מייבש שיער פיליפס HP4980,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202246,מייבש שיער פיליפס HP4984,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202247,מייבש שיער פיליפס HP4990,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202248,מייבש שיער פיליפס HP4996,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202249,מייבש שיער פיליפס HQ4997,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202250,מכונת תספורת פיליפס 5000,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202254,מכונת תספורת פיליפס 5040,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202257,מכ' תספורת פיליפס 5115,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202258,מכ' תספורת פיליפס 5135,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202260,מכ' תספורת פיליפס QC-5170,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202265,מכונת תספורת פיליפס 5345,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202272,מכו' תספורת פיליפס QC5550,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202287,מסיר שיער פיליפס 6400,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202289,מסיר שיער פיליפס 6463,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202290,מסיר שיער פיליפס 6481,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202292,מסיר שיער פיליפס HP6515,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202293,מסיר שיער פיליפס HP6570,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202298,מכונת גילוח פיליפס HQ6940,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202300,מכונת גילוח פיליפס HQ6990,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202305,מכונת גילוח פיליפס HQ7140,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202311,מכונת גילוח פיליפס 7320,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202312,מכונת גילוח פיליפס 7340,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202313,מכונת גילוח פיליפס 7350,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202314,מכונת גילוח פיליפס 7360,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202323,מכונת גילוח פיליפס HS8020,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202324,מכונת גילוח פיליפס HS8040,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202326,מייבש שיער פיליפס HP8103,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202328,מייבש שיער פיליפס HP8180,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202329,מייבש שיער פיליפס HP-8195,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
202332,מכונת גילוח פיליפס HQ8240,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202333," ""הקישי למ""""ג-HQ ולמחליק-HP""",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202334,מכונת גילוח פיליפס HQ8260,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202335,מכונת גילוח פיליפס HQ8270,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202337,מייבש+מחליק פיליפס 8295,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202338,מחליק שיער פיליפס HP8309/8319,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
202339,מחליק שיער פיליפס HP8350,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202340,מכונת גילוח פיליפס HS8420,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202343,מכונת גילוח פיליפס HS8440,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
202353,קוצץ שיער פיליפס NT9110,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204364,מכונת גילוח פיליפס 72016,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204365,מכונת גילוח פיליפס 730/16,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204370,מכונת גילוח פיליפס 860-16/870,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
204375,מכונת גילוח פיליפס 920/18,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204376,מ'ג+שטיפה פיליפס 920/22,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204890,מ.תספורת לזקן פיליפס 3150,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204891,מכונת תספורת פיליפס 5015,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
204892,מכונת גילוח פיליפס HQ7240,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209740," ""מ""""ג פיליפס RQ1160CC+""שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209741," ""מ""""ג פיליפס RQ1250CC+""שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209742," ""מ""ג פיליפס CC+""הפיטש 1280/5",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209811," ""מ""""ג פיליפס 8290CC+""ע.ניקוי",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209858,מייבש שיער פיליפס HP8250,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209859,מחליק שיער פיליפס HP8290,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209860,מכונת גילוח פיליפס HQ8250,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
209861,"מ""""ג פיליפסHQ8290ללא שטיפה",604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210152,מסיר שיער פיליפס HP6574,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210845,מכונת תספורת פיליפס QC5130/15,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
210900,מכונת גילוח פיליפס PT715/17,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211239,מחליק שיער פיליפס HP 8361,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
211240,מסלסל שיער פיליפס HP 8605,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
211241,מסלסל שיער פיליפס HP 8618,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
211242,מחליק שיער פיליפס HP 8333,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211300,מכונת גילוח פיליפס AT750,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211344,מסיר שיער לנשים פיליפס HP6402,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211345,מכונת גילוח פיליפס AT 890,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211373,מסיר שיער פיליפס HP-6364,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
211374,מסיר שיער פיליפס HP-6361,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
212600,מכונת תספורת QC5370/32 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
212601,מכונת תספורת QC5380/32 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
212602,מכונת תספורת QC5770/80 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
213332,מכונת גילוח פיליפס HQ6926,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
213333,מכונת תספורת פיליפס QC5339,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
213586,מכונת גילוח פיליפס 1180,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
213647,מכונת תספורת QG3320 פיליפס,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
214123,מכונת גילוח פיליפס PT725/80,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
214124,מכונת תספורת פיליפס QC5580,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
214125,מכונת תספורת פיליפס QC5560,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
214126,מכונת תספורת פיליפס QT4015,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
214127,מכונת תספורת פיליפס QT4005,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
214128,מכונת תספורת פיליפס QC5125/15,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
214198,מכונת תספורת פיליפס 5570,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
214199,מסיר שיער פיליפס 6422,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
214999,מייבש שיער פיליפס HP8233 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
215000,מייבש שיער פיליפס HP8232 ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
215001,מייבש שיער פיליפס HP8230,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
215204,מכונת גילוח פיליפס AT790,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
216406,מכונת גילוח פיליפס PT919/16,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
216582,מכונת תספורת פיליפס HC3410,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
216583,מכונת תספורת פיליפס HC3420,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
216584,מכונת תספורת פיליפס HC5440,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
216891,מסיר שיער פיליפס HP6420,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
217535,מכונת גילוח פיליפס S9031/13,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
217536,מכונת גילוח פיליפס S9161/42,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",1,מחסני חשמל בלבד
217537,מכונת גילוח פיליפס S9511/41,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
218388,מכונת תספורת פנסוניק PA10,600060091,"מ.ברוכים ובניו בע""מ",1,מחסני חשמל בלבד
218454,למכ.גילוח-שי HQ100 ערכת ניקוי,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218503,מסיר שיער פיליפס HP6462 נטען,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218539,ג'ל גילוח פיליפס HQ170,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218540,קרם גילוח פיליפס HQ171,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218549,מ.גילוח פיליפס HQ7290 חשמלית,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218575,מ.גילוח פיליפס RQ1060 ARCITEC,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218576,מ.גילוח פיליפס RQ1050 ARCITEC,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218637,מסיר שיער חשמלי פיליפס HP6502,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218638,מסיר שיער פיליפס HP6503/17 נט ,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218697,מייבש שיער פיליפס HP4960,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218709,מ.תספורת לזקן פיליפס 4020,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218928,מ.גילוח פיליפס RQ1260,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
218960,מחליק שיער פיליפס HP4668,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
219116,מ.תספורת פיליפס QC5135,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
219317,מ.גילוח פיליפס PT720,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
219318,מכ.גילוח פיליפס PT920,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
220122,מכונת גילוח פיליפס RQ1253,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
220851,מסיר שיער פיליפס SC1992/00,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",,
220911,מכונת תספורת פיליפס HC5450,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
220947,מ. תספורת לזקן פיליפס BT9290,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
221226,מכונת גילוח פיליפס S9711/31,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
222903,קוצץ שיער אף פיליפס NT3160,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
222957,מכונת גילוח פיליפס HQ6976,604060550,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ - קטנים",3,שתי רשתות
